,Main language at work,Company size,Company type,Age
0,0,2.0,0,26.0
1,0,3.0,0,26.0
2,0,3.0,0,29.0
3,0,2.0,1,28.0
4,0,3.0,0,37.0
5,0,1.0,1,32.0
6,0,1.0,0,37.0
7,0,4.0,0,24.0
8,0,3.0,0,29.0
9,0,3.0,0,35.0
10,1,3.0,2,32.0
13,0,1.0,1,34.0
14,0,4.0,0,28.0
15,0,3.0,2,31.0
16,0,4.0,0,29.0
17,0,2.0,1,41.0
18,0,4.0,0,27.0
19,0,3.0,0,34.0
20,0,4.0,0,34.0
21,0,4.0,0,34.0
22,1,4.0,0,25.0
23,1,3.0,0,59.0
24,0,3.0,0,36.0
25,0,3.0,0,38.0
26,0,3.0,0,24.0
27,1,4.0,3,37.0
29,0,3.0,0,40.0
30,0,3.0,0,29.0
31,0,3.0,1,31.0
32,0,2.0,1,29.0
33,0,2.0,1,39.0
34,0,3.0,0,27.0
35,0,4.0,0,33.0
36,1,4.0,0,28.0
37,0,3.0,0,30.0
38,0,3.0,1,28.0
39,0,2.0,1,38.0
40,0,4.0,0,29.0
41,1,4.0,0,49.0
42,0,3.0,0,32.0
43,0,4.0,0,33.0
44,0,4.0,0,30.0
45,0,3.0,0,48.0
46,0,4.0,0,28.0
47,0,3.0,0,32.0
48,0,4.0,0,38.0
49,0,3.0,1,31.0
50,0,3.0,0,35.0
51,1,4.0,0,28.0
52,0,2.0,1,29.0
